ModelID,ModelName,Provider,ModelURL
0,ICONIA TAB (B1-710),ACER,https://walmart.cexchange.com/Online/Cart/BeginAppraisal-ShowAppraisalForm.rails?pcat=30&man=449&modelId=56986&forcelayout=true
0,"ICONIA TAB A210 10"" WI-FI",ACER,https://walmart.cexchange.com/Online/Cart/BeginAppraisal-ShowAppraisalForm.rails?pcat=30&man=449&modelId=21622&forcelayout=true
0,ICONIA TAB WI-FI (A200),ACER,https://walmart.cexchange.com/Online/Cart/BeginAppraisal-ShowAppraisalForm.rails?pcat=30&man=449&modelId=19799&forcelayout=true
0,ICONIA TAB WI-FI (A500),ACER,https://walmart.cexchange.com/Online/Cart/BeginAppraisal-ShowAppraisalForm.rails?pcat=30&man=449&modelId=18743&forcelayout=true
0,ICONIA TAB WI-FI (A700),ACER,https://walmart.cexchange.com/Online/Cart/BeginAppraisal-ShowAppraisalForm.rails?pcat=30&man=449&modelId=20679&forcelayout=true
0,ICONIA W3-810,ACER,https://walmart.cexchange.com/Online/Cart/BeginAppraisal-ShowAppraisalForm.rails?pcat=30&man=449&modelId=31156&forcelayout=true
0,ICONIA W510,ACER,https://walmart.cexchange.com/Online/Cart/BeginAppraisal-ShowAppraisalForm.rails?pcat=30&man=449&modelId=20946&forcelayout=true
0,ICONIA W700 128GB,ACER,https://walmart.cexchange.com/Online/Cart/BeginAppraisal-ShowAppraisalForm.rails?pcat=30&man=449&modelId=20945&forcelayout=true
0,ICONIA W700 64GB,ACER,https://walmart.cexchange.com/Online/Cart/BeginAppraisal-ShowAppraisalForm.rails?pcat=30&man=449&modelId=20944&forcelayout=true
0,"SAMSUNG GALAXY TAB A 10.1""",ACER,https://walmart.cexchange.com/Online/Cart/BeginAppraisal-ShowAppraisalForm.rails?pcat=30&man=449&modelId=57200&forcelayout=true
0,ONE TOUCH PIXI 7,ALCATEL,https://walmart.cexchange.com/Online/Cart/BeginAppraisal-ShowAppraisalForm.rails?pcat=30&man=761&modelId=56315&forcelayout=true
0,ONE TOUCH POP 7 WI-FI + 4G,ALCATEL,https://walmart.cexchange.com/Online/Cart/BeginAppraisal-ShowAppraisalForm.rails?pcat=30&man=761&modelId=54534&forcelayout=true
0,FIRE HD 7 (4TH GEN),AMAZON,https://walmart.cexchange.com/Online/Cart/BeginAppraisal-ShowAppraisalForm.rails?pcat=30&man=551&modelId=54186&forcelayout=true
0,FIRE HDX 8.9 (2014) WI-FI,AMAZON,https://walmart.cexchange.com/Online/Cart/BeginAppraisal-ShowAppraisalForm.rails?pcat=30&man=551&modelId=54187&forcelayout=true
0,FIRE HDX 8.9 (2014) WI-FI + 4G LTE - AT&T,AMAZON,https://walmart.cexchange.com/Online/Cart/BeginAppraisal-ShowAppraisalForm.rails?pcat=30&man=551&modelId=54188&forcelayout=true
0,FIRE HDX 8.9 (2014) WI-FI + 4G LTE - VERIZON,AMAZON,https://walmart.cexchange.com/Online/Cart/BeginAppraisal-ShowAppraisalForm.rails?pcat=30&man=551&modelId=54189&forcelayout=true
0,KINDLE FIRE 7 8GB 5TH GEN,AMAZON,https://walmart.cexchange.com/Online/Cart/BeginAppraisal-ShowAppraisalForm.rails?pcat=30&man=551&modelId=56320&forcelayout=true
0,KINDLE FIRE HD 7IN WI-FI (2013),AMAZON,https://walmart.cexchange.com/Online/Cart/BeginAppraisal-ShowAppraisalForm.rails?pcat=30&man=551&modelId=31175&forcelayout=true
0,KINDLE FIRE HD WI-FI + 4G 8.9IN (2012),AMAZON,https://walmart.cexchange.com/Online/Cart/BeginAppraisal-ShowAppraisalForm.rails?pcat=30&man=551&modelId=20709&forcelayout=true
0,KINDLE FIRE HD WI-FI 7IN (2012),AMAZON,https://walmart.cexchange.com/Online/Cart/BeginAppraisal-ShowAppraisalForm.rails?pcat=30&man=551&modelId=20707&forcelayout=true
0,KINDLE FIRE HD WI-FI 8.9IN (2012),AMAZON,https://walmart.cexchange.com/Online/Cart/BeginAppraisal-ShowAppraisalForm.rails?pcat=30&man=551&modelId=20708&forcelayout=true
0,KINDLE FIRE HDX 7IN WI-FI (2013),AMAZON,https://walmart.cexchange.com/Online/Cart/BeginAppraisal-ShowAppraisalForm.rails?pcat=30&man=551&modelId=31176&forcelayout=true
0,KINDLE FIRE HDX 7IN WI-FI + 4G - AT&T (2013),AMAZON,https://walmart.cexchange.com/Online/Cart/BeginAppraisal-ShowAppraisalForm.rails?pcat=30&man=551&modelId=31177&forcelayout=true
0,KINDLE FIRE HDX 7IN WI-FI + 4G - VERIZON (2013),AMAZON,https://walmart.cexchange.com/Online/Cart/BeginAppraisal-ShowAppraisalForm.rails?pcat=30&man=551&modelId=31178&forcelayout=true
0,KINDLE FIRE HDX 8.9IN WI-FI (2013),AMAZON,https://walmart.cexchange.com/Online/Cart/BeginAppraisal-ShowAppraisalForm.rails?pcat=30&man=551&modelId=31179&forcelayout=true
0,KINDLE FIRE HDX 8.9IN WI-FI + 4G - AT&T (2013),AMAZON,https://walmart.cexchange.com/Online/Cart/BeginAppraisal-ShowAppraisalForm.rails?pcat=30&man=551&modelId=31180&forcelayout=true
0,KINDLE FIRE HDX 8.9IN WI-FI + 4G - VERIZON (2013),AMAZON,https://walmart.cexchange.com/Online/Cart/BeginAppraisal-ShowAppraisalForm.rails?pcat=30&man=551&modelId=31181&forcelayout=true
0,12.9-INCH IPAD PRO WI-FI (A1584),APPLE,https://walmart.cexchange.com/Online/Cart/BeginAppraisal-ShowAppraisalForm.rails?pcat=30&man=341&modelId=56138&forcelayout=true
0,12.9-INCH IPAD PRO WI-FI + 4G (A1652) - AT&T,APPLE,https://walmart.cexchange.com/Online/Cart/BeginAppraisal-ShowAppraisalForm.rails?pcat=30&man=341&modelId=56139&forcelayout=true
0,12.9-INCH IPAD PRO WI-FI + 4G (A1652) - SPRINT,APPLE,https://walmart.cexchange.com/Online/Cart/BeginAppraisal-ShowAppraisalForm.rails?pcat=30&man=341&modelId=56148&forcelayout=true
0,12.9-INCH IPAD PRO WI-FI + 4G (A1652) - UNLOCKED,APPLE,https://walmart.cexchange.com/Online/Cart/BeginAppraisal-ShowAppraisalForm.rails?pcat=30&man=341&modelId=56149&forcelayout=true
0,12.9-INCH IPAD PRO WI-FI + 4G (A1652) - VERIZON,APPLE,https://walmart.cexchange.com/Online/Cart/BeginAppraisal-ShowAppraisalForm.rails?pcat=30&man=341&modelId=56147&forcelayout=true
0,9.7-INCH IPAD PRO WI-FI (A1673),APPLE,https://walmart.cexchange.com/Online/Cart/BeginAppraisal-ShowAppraisalForm.rails?pcat=30&man=341&modelId=56518&forcelayout=true
0,9.7-INCH IPAD PRO WI-FI + 4G (A1674),APPLE,https://walmart.cexchange.com/Online/Cart/BeginAppraisal-ShowAppraisalForm.rails?pcat=30&man=341&modelId=56519&forcelayout=true
0,IPAD 2 WI-FI (A1395),APPLE,https://walmart.cexchange.com/Online/Cart/BeginAppraisal-ShowAppraisalForm.rails?pcat=30&man=341&modelId=13646&forcelayout=true
0,IPAD 2 WI-FI + 3G (A1396) - AT&T,APPLE,https://walmart.cexchange.com/Online/Cart/BeginAppraisal-ShowAppraisalForm.rails?pcat=30&man=341&modelId=13644&forcelayout=true
0,IPAD 2 WI-FI + 3G (A1397) - VERIZON,APPLE,https://walmart.cexchange.com/Online/Cart/BeginAppraisal-ShowAppraisalForm.rails?pcat=30&man=341&modelId=13645&forcelayout=true
0,IPAD 3 WI-FI (A1416),APPLE,https://walmart.cexchange.com/Online/Cart/BeginAppraisal-ShowAppraisalForm.rails?pcat=30&man=341&modelId=19124&forcelayout=true
0,IPAD 3 WI-FI + 4G (A1403) - VERIZON,APPLE,https://walmart.cexchange.com/Online/Cart/BeginAppraisal-ShowAppraisalForm.rails?pcat=30&man=341&modelId=19125&forcelayout=true
